Column2;Column3
Interagir com a luz ou o ar-condicionado;desligue todos os dispositivos
Interagir com a luz ou o ar-condicionado;quantos graus está o ar condicionado?
Interagir com a luz ou o ar-condicionado;ligue a luz
Interagir com a luz ou o ar-condicionado;Acenda a luz
Interagir com a luz ou o ar-condicionado;Está muito frio
Interagir com a luz ou o ar-condicionado;Está muito quente
Interagir com a luz ou o ar-condicionado;Diminua a temperatura
Interagir com a luz ou o ar-condicionado;Qual é a temperatura do quarto?
Interagir com a luz ou o ar-condicionado;está muito escuro
Interagir com a luz ou o ar-condicionado;+ luz
Interagir com a luz ou o ar-condicionado;- luz
Interagir com a luz ou o ar-condicionado;Está escuro em
Interagir com a luz ou o ar-condicionado;Aumente a temperatura do ar condicionado para 22 graus
Interagir com a luz ou o ar-condicionado;desligar luz
Interagir com a luz ou o ar-condicionado;Está escuro aqui
Interagir com a luz ou o ar-condicionado;Foxbot, desligue o ar, está muito frio 
Interagir com a luz ou o ar-condicionado;diminua a temperatura do ar condicionado em 2 graus
Interagir com a luz ou o ar-condicionado;Foxbot, tô com frio. Desligue o ar.
Interagir com a luz ou o ar-condicionado;Foxbot, acordei
Interagir com a luz ou o ar-condicionado;Foxbot, estou com calor
Interagir com a luz ou o ar-condicionado;Mude a temperatura do ar para 15 graus
Interagir com a luz ou o ar-condicionado;Foxbot, diminua a potência do ar aí
Interagir com a luz ou o ar-condicionado;Foxbot estou passando mal de calor
Interagir com a luz ou o ar-condicionado;esta muito quente
Interagir com a luz ou o ar-condicionado;Foxbot, lumus
Interagir com a luz ou o ar-condicionado;temperatura minima do ac
Interagir com a luz ou o ar-condicionado;FoxBot tenho medo do escuro
Interagir com a luz ou o ar-condicionado;Diminua a temperatura
Interagir com a luz ou o ar-condicionado;Foxbot, ligar tudo
Interagir com a luz ou o ar-condicionado;Aumente a temperatura
Interagir com a luz ou o ar-condicionado;ligue o refrigerador de ambiente
Interagir com a luz ou o ar-condicionado;FoxBot esta frio aqui dentro
Interagir com a luz ou o ar-condicionado;Aumente o ar
Interagir com a luz ou o ar-condicionado;Diminua o ar
Obter informações relativas ao clima;vai chover?
Obter informações relativas ao clima;Qual o clima amanhã?
Obter informações relativas ao clima;Qual a temperatura?
Obter informações relativas ao clima;vai fazer sol hoje?
Obter informações relativas ao clima;Foxbot, vai tá quente hoje?
Obter informações relativas ao clima;Vai fazer frio hoje?
Obter informações relativas ao clima;qual a previsão do tempo?
Obter informações relativas ao clima;vai chover?
Obter informações relativas ao clima;Está chovendo?
Obter informações relativas ao clima;Qual a previsão do tempo para hoje?
Obter informações relativas ao clima;Devo usar um casaco?
Obter informações relativas ao clima;FoxBot esta calor?
Obter informações relativas ao clima;está nublado hoje
Obter informações relativas ao clima;Devo usar uma regata?
Obter informações relativas ao clima;preciso levar um guarda-chuva?
Obter informações relativas ao clima;vai chover
Obter informações relativas ao clima;qual a temperatura máxima para a semana?
Obter informações relativas ao clima;FoxBot preciso de um guarda-chuva
Obter informações relativas ao clima;Foxbot, devo levar capa de chuva?
Obter informações relativas ao clima;Preciso de um guarda chuva hoje?
Obter informações relativas ao clima;qual a temperatura mínima para a semana?
Obter informações relativas ao clima;Vai chover?
Obter informações relativas ao clima;Foxbot, vai nevar hoje?
Obter informações relativas ao clima;Amanhã vai fazer calor?
Obter informações relativas ao clima;Como estará o clima na segunda/terça/outro dia da semana?
Obter informações relativas ao clima;Vai fazer sol hoje?
Obter informações relativas ao clima;preciso levar um casaco?
Obter informações relativas ao clima;FoxBot está calor!
Obter informações relativas ao clima;qual é a chance de chover hoje
Obter informações relativas ao clima;está quente?
Obter informações relativas ao clima;FoxBot está frio aqui dentro
Obter informações relativas ao clima;está frio?
Obter informações relativas ao clima;Quanto graus está lá fora?
Obter informações relativas ao clima;Qual o clima de hoje?
Obter informações relativas ao clima;FoxBot posso ir pra praia no fim de semana?
Obter informações relativas ao clima;Foxbot, piscina hoje?
Obter informações relativas ao clima;Foxbot, rola um piscininha hoje?
Obter informações relativas ao clima;qual será o clima de terça feira que vem
Obter informações relativas ao clima;qual é o clima da próxima quinta feira?
